sample_id,final_class,final_certainty,label_stable_tick,top5_stable_tick,probability_js_tick,certainty_plateau_tick,action_cosine_tick,action_relative_l2_tick,out_cosine_tick,out_relative_l2_tick,full_sync_cosine_tick,full_sync_frobenius_tick,action_step_plateau_tick,out_step_plateau_tick,full_sync_step_plateau_tick
ctm-input-11037,969,0.9930251240730286,5,50,48,38,50,50,49,50,50,50,50,50,50
ctm-input-12495,505,0.9685887694358826,4,50,49,48,50,50,49,50,50,50,50,50,50
ctm-input-13575,203,0.7341779470443726,41,47,50,50,50,50,50,50,50,50,50,50,50
ctm-input-14308,657,0.9969330430030823,6,46,41,40,50,50,49,50,50,50,50,50,50
ctm-input-17352,586,0.9999833106994629,3,50,7,6,50,50,49,50,50,50,50,50,50
ctm-input-17558,188,0.9985828995704651,6,50,39,20,50,50,50,50,50,50,50,50,50
ctm-input-22403,804,0.7952665090560913,42,50,50,47,50,50,49,50,49,50,50,50,50
ctm-input-23597,384,1.0,4,44,5,4,50,50,49,50,50,50,50,50,50
ctm-input-2677,778,0.9999821186065674,6,42,14,9,50,50,49,50,50,50,50,50,50
ctm-input-27230,940,0.9585688710212708,24,48,49,49,50,50,49,50,48,50,50,50,50
ctm-input-30917,156,0.993911623954773,5,48,49,49,50,50,49,50,50,50,50,50,50
ctm-input-3415,250,0.9079276919364929,32,41,50,50,50,50,49,50,49,50,50,50,50
ctm-input-35303,180,0.9990531802177429,4,44,37,27,50,50,49,50,49,50,50,50,50
ctm-input-37164,683,0.760660707950592,48,50,50,50,49,50,49,50,50,50,50,50,50
ctm-input-4014,779,0.9673800468444824,49,49,50,50,50,50,50,50,50,50,50,50,50
ctm-input-4225,730,0.8600159287452698,48,45,50,49,50,50,49,50,50,50,50,50,50
ctm-input-42416,275,0.999882698059082,3,48,10,7,50,50,49,50,50,50,50,50,50
ctm-input-43479,663,0.7726867198944092,45,37,50,47,50,50,49,50,50,50,50,50,50
ctm-input-49506,253,0.9134814739227295,5,42,50,50,50,50,49,50,49,50,50,50,50
ctm-input-7343,185,0.8183904886245728,45,26,50,50,50,50,49,50,50,50,50,50,50
