sample_id,final_route_stable_tick,exact_route_tick,navigation_solved_tick,step_accuracy_99_tick,final_step_accuracy,final_navigation_solved,full_sync_cosine_tick,full_sync_frobenius_tick,full_sync_step_plateau_tick,action_cosine_tick,action_relative_l2_tick,action_step_plateau_tick,out_cosine_tick,out_relative_l2_tick,out_step_plateau_tick
0,69,69,0,69,1.0,0,74,75,75,71,74,74,73,75,75
1,54,54,54,54,1.0,1,72,75,75,66,72,61,59,71,60
2,70,70,0,70,1.0,0,75,75,75,73,75,75,72,75,75
3,67,67,0,67,1.0,0,74,75,75,72,75,75,72,75,75
4,70,70,0,70,1.0,0,74,75,75,71,74,73,73,75,75
5,69,69,0,69,1.0,0,74,75,75,71,74,74,73,75,75
6,70,70,0,70,1.0,0,74,75,75,71,74,73,72,75,75
7,70,70,0,70,1.0,0,74,75,75,71,74,73,73,75,75
8,7,7,7,7,1.0,1,71,74,33,71,74,36,55,72,47
9,14,14,14,14,1.0,1,68,74,44,63,70,57,67,75,75
10,71,71,0,71,1.0,0,74,75,75,72,75,75,73,75,75
11,61,61,61,61,1.0,1,73,75,75,69,73,64,67,73,66
12,71,71,0,71,1.0,0,74,75,75,71,74,74,72,75,75
13,72,72,0,72,1.0,0,75,75,75,73,74,75,73,75,75
14,74,0,0,0,0.96,0,71,74,70,70,74,46,68,74,74
15,35,35,35,35,1.0,1,66,69,65,72,74,38,47,72,45
16,72,72,0,72,1.0,0,75,75,75,72,74,75,73,75,75
17,13,13,13,13,1.0,1,66,72,32,67,73,27,51,75,75
18,70,70,0,70,1.0,0,74,75,75,72,74,75,73,75,75
19,69,69,0,69,1.0,0,74,75,75,72,74,73,73,75,75
20,71,71,0,71,1.0,0,74,75,75,72,75,75,71,74,75
21,68,68,0,68,1.0,0,74,75,75,71,74,73,73,75,75
22,70,70,0,70,1.0,0,74,75,75,72,74,75,73,75,75
23,48,48,48,48,1.0,1,73,75,75,70,74,49,54,70,55
24,24,24,24,24,1.0,1,58,68,58,71,74,70,70,75,75
25,69,69,0,69,1.0,0,74,75,75,70,74,75,73,75,75
26,59,59,58,59,1.0,1,73,75,75,69,73,64,66,73,67
27,69,69,0,69,1.0,0,74,75,75,72,74,74,73,75,75
28,71,71,0,71,1.0,0,75,75,75,72,75,75,73,75,75
29,71,0,0,0,0.64,0,74,75,75,72,75,75,74,75,75
30,50,50,50,50,1.0,1,73,75,75,70,74,51,56,71,56
31,71,71,49,71,1.0,1,73,75,75,66,73,57,58,71,55
