sample_id,final_sequence_stable_tick,full_correct_sustained_tick,accuracy_99_tick,mean_token_stable_tick,final_accuracy,full_sync_cosine_tick,full_sync_frobenius_tick,full_sync_step_plateau_tick,action_cosine_tick,action_relative_l2_tick,action_step_plateau_tick,out_cosine_tick,out_relative_l2_tick,out_step_plateau_tick
0,67,67,67,48.828125,1.0,73,75,75,61,69,58,75,75,75
1,66,66,66,50.3125,1.0,73,75,75,61,70,60,73,75,75
2,67,67,67,46.921875,1.0,73,75,75,61,70,61,75,75,75
3,67,67,67,49.171875,1.0,73,75,75,61,69,59,75,75,75
4,66,66,66,50.09375,1.0,73,75,75,62,70,62,75,75,75
5,66,66,66,51.765625,1.0,73,75,75,61,69,60,75,75,75
6,66,66,66,52.3125,1.0,73,75,75,62,70,57,75,75,75
7,66,66,66,50.515625,1.0,73,75,75,62,68,60,74,75,75
8,67,67,67,51.578125,1.0,73,75,75,61,70,57,75,75,75
9,67,67,67,50.046875,1.0,73,75,75,63,69,61,75,75,75
10,66,66,66,48.484375,1.0,73,75,75,61,69,62,75,75,75
11,68,68,68,52.21875,1.0,73,75,75,62,69,64,74,75,75
12,67,67,67,53.34375,1.0,73,75,75,61,68,60,75,75,75
13,66,66,66,49.984375,1.0,73,75,75,61,68,57,75,75,75
14,67,67,67,51.140625,1.0,73,75,75,61,68,60,74,75,75
15,68,68,68,51.1875,1.0,73,75,75,61,69,61,75,75,75
16,69,69,69,53.890625,1.0,73,75,75,61,69,57,74,75,75
17,67,67,67,51.9375,1.0,73,75,75,61,69,57,74,75,75
18,68,68,68,53.046875,1.0,73,75,75,63,71,59,75,75,75
19,66,66,66,51.890625,1.0,73,75,75,60,69,60,75,75,75
20,66,66,66,48.109375,1.0,73,75,75,60,69,57,75,75,75
21,67,67,67,49.84375,1.0,73,75,75,60,68,61,75,75,75
22,69,69,69,51.109375,1.0,73,75,75,64,69,65,75,75,75
23,67,67,67,47.734375,1.0,73,75,75,62,70,58,75,75,75
24,65,65,65,51.34375,1.0,73,75,75,61,68,58,75,75,75
25,66,66,66,50.390625,1.0,73,75,75,61,69,60,75,75,75
26,69,69,69,48.015625,1.0,73,75,75,61,69,57,75,75,75
27,67,67,67,50.09375,1.0,73,75,75,60,68,59,75,75,75
28,66,66,66,49.71875,1.0,73,75,75,62,69,59,75,75,75
29,66,66,66,47.296875,1.0,73,75,75,60,68,60,75,75,75
30,69,69,69,51.609375,1.0,73,75,75,64,71,60,74,75,75
31,66,66,66,50.234375,1.0,73,75,75,62,69,59,75,75,75
32,65,65,65,50.65625,1.0,73,75,75,61,69,60,74,75,75
33,68,68,68,47.609375,1.0,73,75,75,61,69,61,75,75,75
34,65,65,65,49.0625,1.0,73,75,75,62,70,58,74,75,75
35,67,67,67,52.0625,1.0,73,75,75,62,70,59,74,75,75
36,65,65,65,51.75,1.0,73,75,75,62,69,59,74,75,75
37,69,69,69,51.921875,1.0,73,75,75,62,69,61,75,75,75
38,67,67,67,51.71875,1.0,73,75,75,62,68,61,75,75,75
39,66,66,66,50.40625,1.0,73,75,75,61,69,57,75,75,75
40,68,68,68,50.765625,1.0,73,75,75,62,70,61,75,75,75
41,67,67,67,50.09375,1.0,73,75,75,62,70,58,74,75,75
42,68,68,68,52.34375,1.0,73,75,75,61,68,57,74,75,75
43,65,65,65,50.75,1.0,73,75,75,62,70,61,74,75,75
44,66,66,66,49.484375,1.0,73,75,75,63,70,61,75,75,75
45,67,67,67,49.90625,1.0,73,75,75,60,69,58,75,75,75
46,66,66,66,51.34375,1.0,73,75,75,64,69,66,75,75,75
47,67,67,67,50.890625,1.0,73,75,75,62,69,61,74,75,75
48,66,66,66,50.4375,1.0,73,75,75,60,69,60,73,75,75
49,67,67,67,50.171875,1.0,73,75,75,61,68,58,75,75,75
50,68,68,68,49.09375,1.0,73,75,75,61,69,57,75,75,75
51,68,68,68,52.578125,1.0,73,75,75,59,68,60,75,75,75
52,65,65,65,48.078125,1.0,73,75,75,60,68,60,75,75,75
53,67,67,67,49.703125,1.0,73,75,75,61,69,59,75,75,75
54,67,67,67,50.03125,1.0,73,75,75,61,69,60,73,75,75
55,67,67,67,49.8125,1.0,73,75,75,62,69,58,75,75,75
56,67,67,67,52.328125,1.0,73,75,75,61,70,59,74,75,75
57,67,67,67,51.625,1.0,73,75,75,61,69,61,74,75,75
58,67,67,67,49.328125,1.0,73,75,75,63,70,58,73,75,75
59,65,65,65,51.890625,1.0,73,75,75,60,68,59,75,75,75
60,66,66,66,51.421875,1.0,73,75,75,61,69,57,75,75,75
61,67,67,67,49.59375,1.0,73,75,75,64,69,58,74,75,75
62,65,65,65,53.015625,1.0,73,75,75,62,69,59,75,75,75
63,66,66,66,53.25,1.0,73,75,75,60,68,60,74,75,75
