sample_id,target,final_label,final_correct,first_correct_sustained_tick,answer_correct_sustained_tick,final_label_stable_tick,answer_final_label_stable_tick,most_certain_tick,most_certain_label,most_certain_correct,final_certainty,max_certainty,full_sync_cosine_tick,full_sync_frobenius_tick,full_sync_step_plateau_tick,action_cosine_tick,action_relative_l2_tick,action_step_plateau_tick,out_cosine_tick,out_relative_l2_tick,out_step_plateau_tick
0,6,6,1,104,121,104,121,126,6,1,0.9906370639801025,0.9999428391456604,129,130,130,126,129,127,130,130,130
1,8,8,1,122,122,122,122,127,8,1,0.9997571110725403,0.9999831318855286,129,130,130,121,126,122,130,130,130
2,1,1,1,122,122,122,122,127,1,1,0.9999982118606567,0.9999996423721313,128,130,130,129,130,130,130,130,130
3,9,9,1,101,121,101,121,129,9,1,0.9999892711639404,0.9999983906745911,129,130,130,129,130,130,130,130,130
4,8,8,1,122,122,122,122,128,8,1,0.9990485906600952,0.9999844431877136,129,130,130,125,126,127,130,130,130
5,0,0,1,122,122,122,122,130,0,1,0.9999731779098511,0.9999731779098511,128,130,130,126,129,106,130,130,130
6,1,1,1,122,122,122,122,127,1,1,0.9998942017555237,0.9999992847442627,129,130,130,127,129,128,130,130,130
7,6,0,0,0,0,129,129,126,6,1,0.8142567276954651,0.9888398051261902,128,130,130,125,128,126,130,130,130
8,9,9,1,124,124,124,124,129,9,1,0.9996737837791443,0.9999458193778992,129,130,130,126,129,128,130,130,130
9,1,1,1,125,125,125,125,127,1,1,0.9911442399024963,0.9999376535415649,129,130,130,129,130,130,130,130,130
10,5,5,1,122,122,122,122,128,5,1,0.9985079169273376,0.9999914765357971,128,130,130,125,128,118,130,130,130
11,0,0,1,123,123,123,123,130,0,1,0.9999600648880005,0.9999600648880005,128,130,130,128,129,130,130,130,130
12,7,7,1,124,124,124,124,126,7,1,0.9982424378395081,0.999953031539917,128,130,130,127,129,128,130,130,130
13,4,4,1,123,123,123,123,128,4,1,0.9800484776496887,0.9999594688415527,129,130,130,116,128,117,130,130,130
14,3,3,1,121,121,121,121,130,3,1,0.9999971389770508,0.9999971389770508,128,130,130,119,122,97,130,130,130
15,5,5,1,124,124,124,124,128,5,1,0.9956609606742859,0.9999525547027588,128,130,130,128,129,130,130,130,130
16,0,0,1,123,123,123,123,130,0,1,0.9999422430992126,0.9999422430992126,127,130,130,127,129,127,130,130,130
17,1,1,1,125,125,125,125,127,1,1,0.9867334961891174,0.9999764561653137,129,130,130,127,129,128,130,130,130
18,7,7,1,101,121,101,121,126,7,1,0.9892957210540771,0.9999798536300659,128,130,130,126,128,123,130,130,130
19,0,0,1,122,122,122,122,130,0,1,0.9999714493751526,0.9999714493751526,128,130,130,128,129,130,130,130,130
20,4,4,1,122,122,122,122,128,4,1,0.9849912524223328,0.9999685287475586,129,130,130,129,130,130,130,130,130
21,3,3,1,121,121,121,121,130,3,1,0.9999368190765381,0.9999368190765381,128,130,130,121,126,122,130,130,130
22,4,4,1,122,122,122,122,128,4,1,0.9962802529335022,0.9999486207962036,129,130,130,126,129,128,130,130,130
23,2,2,1,122,122,122,122,127,2,1,0.9977906942367554,0.9999849796295166,129,130,130,127,130,130,130,130,130
24,8,8,1,123,123,123,123,124,8,1,0.6345787644386292,0.9591058492660522,128,130,130,124,129,118,130,130,130
25,9,3,0,0,0,125,125,130,3,0,0.9987707734107971,0.9987707734107971,128,130,130,116,121,117,130,130,130
26,9,9,1,124,124,124,124,129,9,1,0.9977341294288635,0.9985825419425964,129,130,130,127,129,128,130,130,130
27,3,3,1,121,121,121,121,130,3,1,0.9999555945396423,0.9999555945396423,128,130,130,122,125,123,130,130,130
28,8,8,1,123,123,123,123,128,8,1,0.9999472498893738,0.9999995827674866,129,130,130,120,128,120,130,130,130
29,2,2,1,122,122,122,122,127,2,1,0.9990691542625427,0.9999962449073792,129,130,130,129,130,130,130,130,130
30,6,6,1,123,123,123,123,126,6,1,0.9232795834541321,0.9998467564582825,129,130,130,127,129,129,130,130,130
31,6,6,1,123,123,123,123,126,6,1,0.8882505893707275,0.9999736547470093,129,130,130,127,129,128,130,130,130
32,4,4,1,122,122,122,122,128,4,1,0.9986559152603149,0.9999944567680359,129,130,130,125,129,107,130,130,130
33,5,5,1,122,122,122,122,128,5,1,0.9960591793060303,0.9999736547470093,127,129,130,120,128,84,130,130,130
34,6,6,1,122,122,122,122,126,6,1,0.9958303570747375,0.9999739527702332,129,130,130,126,128,128,130,130,130
35,6,6,1,123,123,123,123,126,6,1,0.9994660019874573,0.9999746680259705,129,130,130,129,130,130,130,130,130
