sample_id,final_exact,final_token_accuracy,final_decoded_length,first_exact_sustained_tick,token_accuracy_99_tick,final_decoded_stable_tick,full_sync_cosine_tick,full_sync_frobenius_tick,full_sync_step_plateau_tick,out_cosine_tick,out_relative_l2_tick,out_step_plateau_tick
0,0,0.23333333333333334,29,0,0,49,50,50,50,50,50,50
1,0,0.7666666666666667,29,0,0,49,50,50,50,50,50,50
2,1,1.0,30,46,46,46,50,50,50,50,50,50
3,0,0.16666666666666666,29,0,0,49,50,50,50,50,50,50
4,1,1.0,30,49,49,49,50,50,50,50,50,50
5,1,1.0,30,48,48,48,50,50,50,50,50,50
6,1,1.0,30,47,47,47,50,50,50,50,50,50
7,1,1.0,30,50,50,50,50,50,50,50,50,50
8,1,1.0,30,47,47,47,50,50,50,50,50,50
9,0,0.9333333333333333,30,0,0,47,50,50,50,50,50,50
10,1,1.0,30,48,48,48,50,50,50,50,50,50
11,1,1.0,30,48,48,48,49,50,50,50,50,50
12,0,0.03333333333333333,28,0,0,46,50,50,50,50,50,50
13,0,0.9333333333333333,30,0,0,49,50,50,50,50,50,50
14,0,0.06666666666666667,29,0,0,49,50,50,50,50,50,50
15,1,1.0,30,49,49,49,50,50,50,50,50,50
16,0,0.1,28,0,0,47,50,50,50,50,50,50
17,0,0.13333333333333333,29,0,0,47,50,50,50,50,50,50
18,1,1.0,30,49,49,49,50,50,50,50,50,50
19,1,1.0,30,49,49,49,50,50,50,50,50,50
20,1,1.0,30,47,47,47,50,50,50,50,50,50
21,0,0.9333333333333333,30,0,0,48,50,50,50,50,50,50
22,1,1.0,30,47,47,47,50,50,50,50,50,50
23,1,1.0,30,49,49,49,50,50,50,50,50,50
24,1,1.0,30,49,49,49,50,50,50,50,50,50
25,0,0.8333333333333334,30,0,0,48,50,50,50,50,50,50
26,1,1.0,30,47,47,47,50,50,50,50,50,50
27,0,0.9333333333333333,30,0,0,48,50,50,50,50,50,50
28,1,1.0,30,47,47,47,50,50,50,50,50,50
29,0,0.9333333333333333,30,0,0,48,50,50,50,50,50,50
30,1,1.0,30,48,48,48,50,50,50,50,50,50
31,0,0.5333333333333333,29,0,0,47,49,50,50,50,50,50
32,0,0.9333333333333333,30,0,0,49,50,50,50,50,50,50
33,1,1.0,30,50,50,50,50,50,50,50,50,50
34,1,1.0,30,49,49,49,50,50,50,50,50,50
35,1,1.0,30,48,48,48,50,50,50,50,50,50
36,0,0.9333333333333333,30,0,0,47,50,50,50,50,50,50
37,1,1.0,30,49,49,49,50,50,50,50,50,50
38,0,0.4666666666666667,29,0,0,48,50,50,50,50,50,50
39,0,0.8,29,0,0,48,50,50,50,50,50,50
40,1,1.0,30,48,48,48,50,50,50,50,50,50
41,1,1.0,30,48,48,48,50,50,50,50,50,50
42,0,0.5,29,0,0,48,50,50,50,50,50,50
43,1,1.0,30,47,47,47,50,50,50,50,50,50
44,0,0.9333333333333333,30,0,0,47,50,50,50,50,50,50
45,0,0.6,29,0,0,48,50,50,50,50,50,50
46,1,1.0,30,49,49,49,50,50,50,50,50,50
47,1,1.0,30,49,49,49,50,50,50,50,50,50
48,1,1.0,30,48,48,48,50,50,50,50,50,50
49,1,1.0,30,48,48,48,50,50,50,50,50,50
50,0,0.9333333333333333,30,0,0,47,50,50,50,50,50,50
51,0,0.9333333333333333,30,0,0,49,50,50,50,50,50,50
52,0,0.6666666666666666,29,0,0,47,50,50,50,50,50,50
53,1,1.0,30,49,49,49,50,50,50,50,50,50
54,1,1.0,30,47,47,47,50,50,50,50,50,50
55,0,0.6333333333333333,29,0,0,46,50,50,50,50,50,50
56,1,1.0,30,47,47,47,50,50,50,50,50,50
57,1,1.0,30,47,47,47,50,50,50,50,50,50
58,0,0.9333333333333333,30,0,0,48,50,50,50,50,50,50
59,1,1.0,30,47,47,47,50,50,50,50,50,50
60,1,1.0,30,50,50,50,50,50,50,50,50,50
61,1,1.0,30,46,46,46,50,50,50,50,50,50
62,0,0.06666666666666667,27,0,0,46,50,50,50,50,50,50
63,1,1.0,30,47,47,47,50,50,50,50,50,50
