sample_id,source_index_scanned,target_label,target_synset,target_name,final_pred_label,final_pred_name,detail_candidate,final_class,final_certainty,label_stable_tick,top5_stable_tick,probability_js_tick,certainty_plateau_tick,action_cosine_tick,action_relative_l2_tick,out_cosine_tick,out_relative_l2_tick,full_sync_cosine_tick,full_sync_frobenius_tick,action_step_plateau_tick,out_step_plateau_tick,full_sync_step_plateau_tick,final_correct,first_correct_tick,correct_sustained_tick,target_probability_final,target_probability_plateau_tick,most_certain_tick,most_certain_label,most_certain_correct
class091-coucal-sample00-src00000,0,91,n01824575,coucal,91,coucal,True,91,0.9999966621398926,4,42,9,8,50,50,48,50,50,50,50,50,50,1,4,4,0.9999984502792358,8,25,91,1
class171-Italian_greyhound-sample00-src00001,1,171,n02091032,Italian greyhound,171,Italian greyhound,True,171,0.9438866376876831,9,49,50,50,50,50,49,50,50,50,50,50,50,1,7,9,0.8725311756134033,50,43,171,1
class980-volcano-sample00-src00002,2,980,n09472597,volcano,975,"lakeside, lakeshore",True,975,0.8582242727279663,18,49,50,47,49,50,49,50,49,50,50,50,50,0,15,0,0.014671177603304386,31,30,975,0
class505-coffeepot-sample00-src00013,13,505,n03063689,coffeepot,505,coffeepot,True,505,0.9849270582199097,5,41,35,30,50,50,49,50,50,50,50,50,50,1,5,5,0.9815258979797363,30,29,505,1
class817-sports_car-sample00-src00019,19,817,n04285008,"sports car, sport car",817,"sports car, sport car",True,817,0.8042460680007935,46,47,50,49,50,50,49,50,49,50,50,50,50,1,7,46,0.36006033420562744,50,15,627,0
class091-coucal-sample01-src00316,316,91,n01824575,coucal,80,black grouse,True,80,0.9516019225120544,26,50,50,49,50,50,49,50,50,50,50,50,50,0,10,0,0.011792425997555256,45,39,80,0
class817-sports_car-sample01-src00787,787,817,n04285008,"sports car, sport car",597,holster,True,597,0.7794907689094543,41,47,50,47,50,50,49,50,50,50,50,50,50,0,3,0,0.2959001064300537,49,37,817,1
class980-volcano-sample01-src00863,863,980,n09472597,volcano,980,volcano,True,980,0.9999963641166687,3,50,6,6,50,50,49,50,49,50,50,50,50,1,3,3,0.9999984502792358,5,50,980,1
class980-volcano-sample02-src01265,1265,980,n09472597,volcano,705,"passenger car, coach, carriage",True,705,0.6652164459228516,46,50,50,49,50,50,50,50,49,50,50,50,50,0,29,0,0.006060927174985409,48,32,460,0
class980-volcano-sample03-src01422,1422,980,n09472597,volcano,980,volcano,True,980,0.9999905824661255,2,50,7,7,50,50,49,50,50,50,50,50,50,1,2,2,0.9999951124191284,7,29,980,1
