sample_id,source_index_scanned,target_label,target_synset,target_name,final_pred_label,final_pred_name,detail_candidate,final_class,final_certainty,label_stable_tick,top5_stable_tick,probability_js_tick,certainty_plateau_tick,action_cosine_tick,action_relative_l2_tick,out_cosine_tick,out_relative_l2_tick,full_sync_cosine_tick,full_sync_frobenius_tick,action_step_plateau_tick,out_step_plateau_tick,full_sync_step_plateau_tick,final_correct,first_correct_tick,correct_sustained_tick,target_probability_final,target_probability_plateau_tick,most_certain_tick,most_certain_label,most_certain_correct
class089-sulphur-crested_cockatoo-sample00-src00010,10,89,n01819313,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",True,89,1.0,3,50,6,5,50,50,49,50,50,50,50,50,50,1,3,3,1.0,5,23,89,1
class332-Angora-sample00-src00014,14,332,n02328150,"Angora, Angora rabbit",332,"Angora, Angora rabbit",True,332,0.9994050860404968,4,49,34,14,50,50,49,50,50,50,50,50,50,1,4,4,0.9995644688606262,14,42,332,1
class575-golfcart-sample00-src00015,15,575,n03445924,"golfcart, golf cart",575,"golfcart, golf cart",True,575,0.9556202292442322,6,48,50,44,50,50,50,50,49,50,50,50,50,1,6,6,0.9546787142753601,49,40,575,1
class986-yellow_lady_s_slipper-sample00-src00016,16,986,n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",986,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",True,986,1.0,3,50,5,5,50,50,49,50,50,50,50,50,50,1,3,3,1.0,5,17,986,1
class867-trailer_truck-sample00-src00017,17,867,n04467665,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",867,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",True,867,0.9622650742530823,44,50,50,50,50,50,49,50,50,50,50,50,50,1,6,44,0.9336581230163574,50,27,867,1
class332-Angora-sample01-src00077,77,332,n02328150,"Angora, Angora rabbit",332,"Angora, Angora rabbit",True,332,1.0,3,49,6,6,49,50,48,50,40,50,50,50,50,1,3,3,1.0,6,42,332,1
class575-golfcart-sample01-src00109,109,575,n03445924,"golfcart, golf cart",575,"golfcart, golf cart",True,575,0.999999463558197,3,50,7,7,50,50,49,50,49,50,50,50,50,1,3,3,0.9999998807907104,7,40,575,1
class575-golfcart-sample02-src00137,137,575,n03445924,"golfcart, golf cart",575,"golfcart, golf cart",True,575,0.9993737936019897,6,49,38,34,50,50,50,50,48,50,50,50,50,1,6,6,0.999574601650238,34,40,575,1
class867-trailer_truck-sample01-src00731,731,867,n04467665,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",867,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",True,867,0.9726502895355225,6,31,50,49,50,50,50,50,50,50,50,50,50,1,6,6,0.9610038995742798,50,17,867,1
class867-trailer_truck-sample02-src00751,751,867,n04467665,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",867,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",True,867,0.9994407892227173,3,45,42,18,50,50,49,50,50,50,50,50,50,1,3,3,0.9995878338813782,18,48,867,1
class332-Angora-sample02-src01198,1198,332,n02328150,"Angora, Angora rabbit",332,"Angora, Angora rabbit",True,332,0.9914253354072571,5,47,45,34,50,50,49,50,50,50,50,50,50,1,5,5,0.9913561344146729,34,42,332,1
class575-golfcart-sample03-src01670,1670,575,n03445924,"golfcart, golf cart",575,"golfcart, golf cart",True,575,0.9926472306251526,2,49,49,39,50,50,49,50,50,50,50,50,50,1,2,2,0.9919420480728149,39,40,575,1
class575-golfcart-sample04-src01675,1675,575,n03445924,"golfcart, golf cart",407,ambulance,True,407,0.9901191592216492,8,37,49,49,50,50,49,50,49,50,50,50,50,0,0,0,1.4864313335749557e-08,2,43,407,0
class986-yellow_lady_s_slipper-sample01-src01753,1753,986,n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",986,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",True,986,0.9999999403953552,3,50,10,9,49,50,49,50,49,50,50,50,50,1,3,3,1.0,9,22,986,1
class986-yellow_lady_s_slipper-sample02-src01983,1983,986,n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",986,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",True,986,1.0,3,50,5,4,50,50,49,50,50,50,50,50,50,1,3,3,1.0,4,8,986,1
class332-Angora-sample03-src02187,2187,332,n02328150,"Angora, Angora rabbit",332,"Angora, Angora rabbit",True,332,0.9999976754188538,3,45,7,6,50,50,49,50,50,50,50,50,50,1,3,3,0.999998927116394,6,42,332,1
class986-yellow_lady_s_slipper-sample03-src02195,2195,986,n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",986,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",True,986,1.0,2,49,4,4,50,50,49,50,49,50,50,50,50,1,2,2,1.0,4,9,986,1
class986-yellow_lady_s_slipper-sample04-src02239,2239,986,n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",986,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",True,986,1.0,2,47,4,4,50,50,49,50,49,50,50,50,50,1,2,2,1.0,4,7,986,1
class089-sulphur-crested_cockatoo-sample01-src02391,2391,89,n01819313,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",True,89,0.9928145408630371,5,46,46,24,50,50,49,50,50,50,50,50,50,1,5,5,0.9923237562179565,46,38,89,1
class089-sulphur-crested_cockatoo-sample02-src02548,2548,89,n01819313,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",True,89,0.9853515625,6,48,41,39,50,50,49,50,49,50,50,50,50,1,6,6,0.9808961153030396,49,38,89,1
class089-sulphur-crested_cockatoo-sample03-src02551,2551,89,n01819313,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",649,"megalith, megalithic structure",True,649,0.5971375703811646,48,48,50,49,50,50,50,50,49,50,50,50,50,0,0,0,0.0007387380464933813,39,28,442,0
class089-sulphur-crested_cockatoo-sample04-src02680,2680,89,n01819313,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",93,hornbill,True,93,0.8112888336181641,39,49,50,50,50,50,49,50,50,50,50,50,50,0,14,0,0.18906348943710327,50,47,93,0
class332-Angora-sample04-src03309,3309,332,n02328150,"Angora, Angora rabbit",332,"Angora, Angora rabbit",True,332,1.0,2,50,5,4,50,50,49,50,50,50,50,50,50,1,2,2,1.0,4,16,332,1
class867-trailer_truck-sample03-src03460,3460,867,n04467665,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",867,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",True,867,0.9999911189079285,4,45,12,10,50,50,49,50,50,50,50,50,50,1,4,4,0.9999957084655762,10,27,867,1
class867-trailer_truck-sample04-src03607,3607,867,n04467665,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",660,"mobile home, manufactured home",True,660,0.9145174622535706,28,50,48,45,50,50,49,50,49,50,50,50,50,0,6,0,0.1954294890165329,50,28,660,0
