sample_id,label,label_name,n_edges,lcc_nodes,lcc_ratio,final_correct,final_pred_name,tick,density,layout
class089-sulphur-crested_cockatoo-sample00-src00010,89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",1308,353,0.689453125,1,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",10,0.01,grid-fixed
class089-sulphur-crested_cockatoo-sample01-src02391,89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",1308,357,0.697265625,1,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",10,0.01,grid-fixed
class089-sulphur-crested_cockatoo-sample02-src02548,89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",1308,404,0.7890625,1,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",10,0.01,grid-fixed
class089-sulphur-crested_cockatoo-sample03-src02551,89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",1308,355,0.693359375,0,"megalith, megalithic structure",10,0.01,grid-fixed
class089-sulphur-crested_cockatoo-sample04-src02680,89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",1308,390,0.76171875,0,hornbill,10,0.01,grid-fixed
class332-Angora-sample00-src00014,332,"Angora, Angora rabbit",1308,378,0.73828125,1,"Angora, Angora rabbit",10,0.01,grid-fixed
class332-Angora-sample01-src00077,332,"Angora, Angora rabbit",1308,406,0.79296875,1,"Angora, Angora rabbit",10,0.01,grid-fixed
class332-Angora-sample02-src01198,332,"Angora, Angora rabbit",1308,339,0.662109375,1,"Angora, Angora rabbit",10,0.01,grid-fixed
class332-Angora-sample03-src02187,332,"Angora, Angora rabbit",1308,320,0.625,1,"Angora, Angora rabbit",10,0.01,grid-fixed
class332-Angora-sample04-src03309,332,"Angora, Angora rabbit",1308,362,0.70703125,1,"Angora, Angora rabbit",10,0.01,grid-fixed
class575-golfcart-sample00-src00015,575,"golfcart, golf cart",1308,346,0.67578125,1,"golfcart, golf cart",10,0.01,grid-fixed
class575-golfcart-sample01-src00109,575,"golfcart, golf cart",1308,385,0.751953125,1,"golfcart, golf cart",10,0.01,grid-fixed
class575-golfcart-sample02-src00137,575,"golfcart, golf cart",1308,438,0.85546875,1,"golfcart, golf cart",10,0.01,grid-fixed
class575-golfcart-sample03-src01670,575,"golfcart, golf cart",1308,321,0.626953125,1,"golfcart, golf cart",10,0.01,grid-fixed
class575-golfcart-sample04-src01675,575,"golfcart, golf cart",1308,343,0.669921875,0,ambulance,10,0.01,grid-fixed
class986-yellow_lady_s_slipper-sample00-src00016,986,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",1308,347,0.677734375,1,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",10,0.01,grid-fixed
