sample_id,source_index_scanned,target_label,target_synset,target_name,final_pred_label,final_pred_name,detail_candidate,final_class,final_certainty,label_stable_tick,top5_stable_tick,probability_js_tick,certainty_plateau_tick,action_cosine_tick,action_relative_l2_tick,out_cosine_tick,out_relative_l2_tick,full_sync_cosine_tick,full_sync_frobenius_tick,action_step_plateau_tick,out_step_plateau_tick,full_sync_step_plateau_tick,final_correct,first_correct_tick,correct_sustained_tick,target_probability_final,target_probability_plateau_tick,most_certain_tick,most_certain_label,most_certain_correct
class019-chickadee-sample00-src00004,4,19,n01592084,chickadee,19,chickadee,True,19,1.0,6,50,8,7,50,50,49,50,50,50,50,50,50,1,6,6,1.0,7,45,19,1
class658-mitten-sample00-src00005,5,658,n03775071,mitten,904,window screen,True,904,0.8645930290222168,47,49,50,50,50,50,49,50,50,50,50,50,50,0,0,0,0.005270900204777718,42,42,496,0
class549-envelope-sample00-src00006,6,549,n03291819,envelope,721,pillow,True,721,0.8572157621383667,30,48,50,50,50,50,49,50,49,50,50,50,50,0,0,0,0.00029726483626291156,38,48,721,0
class808-sombrero-sample00-src00007,7,808,n04259630,sombrero,808,sombrero,True,808,0.9999905228614807,5,48,10,10,50,50,49,50,50,50,50,50,50,1,3,5,0.9999957084655762,9,50,808,1
class305-dung_beetle-sample00-src00008,8,305,n02172182,dung beetle,75,"black widow, Latrodectus mactans",True,75,0.9525729417800903,39,48,50,49,50,50,49,50,49,50,50,50,50,0,0,0,0.0025219095405191183,47,32,75,0
class808-sombrero-sample01-src00141,141,808,n04259630,sombrero,808,sombrero,True,808,0.9995356202125549,5,50,39,39,50,50,49,50,50,50,50,50,50,1,5,5,0.9996422529220581,39,50,808,1
class808-sombrero-sample02-src00373,373,808,n04259630,sombrero,445,"bikini, two-piece",True,445,0.6747457981109619,32,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0.12705783545970917,50,39,445,0
class549-envelope-sample01-src00411,411,549,n03291819,envelope,549,envelope,True,549,0.9966461062431335,2,49,44,37,50,50,50,50,50,50,50,50,50,1,2,2,0.9969348907470703,44,37,549,1
class808-sombrero-sample03-src00534,534,808,n04259630,sombrero,96,toucan,True,96,0.8611770868301392,48,49,50,50,50,50,49,50,49,50,50,50,50,0,0,0,0.0032722612377256155,1,30,87,0
class549-envelope-sample02-src00629,629,549,n03291819,envelope,507,combination lock,True,507,0.7887256145477295,50,50,50,50,50,50,49,50,49,50,50,50,50,0,0,0,0.0005835751071572304,38,18,844,0
class305-dung_beetle-sample01-src00725,725,305,n02172182,dung beetle,305,dung beetle,True,305,0.9374502897262573,17,49,50,49,50,50,50,50,50,50,50,50,50,1,6,17,0.9132183194160461,50,38,305,1
class019-chickadee-sample01-src01375,1375,19,n01592084,chickadee,19,chickadee,True,19,0.9999998807907104,2,48,5,4,50,50,49,50,50,50,50,50,50,1,2,2,1.0,4,23,19,1
class549-envelope-sample03-src01464,1464,549,n03291819,envelope,893,"wallet, billfold, notecase, pocketbook",True,893,0.8712252974510193,49,50,50,47,50,50,49,50,50,50,50,50,50,0,14,0,0.3489729166030884,50,29,893,0
class549-envelope-sample04-src01495,1495,549,n03291819,envelope,692,packet,True,692,0.8766882419586182,42,47,50,47,50,50,49,50,49,50,50,50,50,0,6,0,0.011341927573084831,38,44,692,0
class305-dung_beetle-sample02-src01966,1966,305,n02172182,dung beetle,305,dung beetle,True,305,0.9280176758766174,41,49,50,50,50,50,49,50,49,50,50,50,50,1,6,41,0.8686314225196838,50,38,305,1
class808-sombrero-sample04-src02603,2603,808,n04259630,sombrero,457,"bow tie, bow-tie, bowtie",True,457,0.7226314544677734,46,49,50,46,50,50,49,50,50,50,50,50,50,0,10,0,0.11149321496486664,50,19,457,0
class305-dung_beetle-sample03-src02931,2931,305,n02172182,dung beetle,696,paintbrush,True,696,0.9534290432929993,5,50,50,50,50,50,49,50,50,50,50,50,50,0,0,0,3.760161780519411e-05,1,50,696,0
class658-mitten-sample01-src03233,3233,658,n03775071,mitten,658,mitten,True,658,0.9473175406455994,5,40,50,49,49,50,49,50,49,50,50,50,50,1,2,5,0.9055202007293701,50,41,658,1
class658-mitten-sample02-src04958,4958,658,n03775071,mitten,658,mitten,True,658,0.9582043886184692,24,40,49,49,50,50,49,50,50,50,50,50,50,1,5,24,0.9389228224754333,50,41,658,1
class019-chickadee-sample02-src05545,5545,19,n01592084,chickadee,19,chickadee,True,19,0.9988446235656738,6,49,44,38,50,50,49,50,50,50,50,50,50,1,6,6,0.9990228414535522,39,50,19,1
class305-dung_beetle-sample04-src05674,5674,305,n02172182,dung beetle,305,dung beetle,True,305,0.9999934434890747,3,40,7,6,50,50,49,50,49,50,50,50,50,1,3,3,0.9999971389770508,6,38,305,1
class019-chickadee-sample03-src06318,6318,19,n01592084,chickadee,19,chickadee,True,19,1.0,2,48,6,6,50,50,49,50,50,50,50,50,50,1,2,2,1.0,5,23,19,1
class658-mitten-sample03-src06400,6400,658,n03775071,mitten,721,pillow,True,721,0.6392974853515625,48,50,50,50,50,50,49,50,50,50,50,50,50,0,0,0,3.634229628346475e-08,1,15,5,0
class658-mitten-sample04-src06497,6497,658,n03775071,mitten,658,mitten,True,658,0.9988511204719543,3,47,48,36,50,50,49,50,49,50,50,50,50,1,3,3,0.9990478157997131,36,41,658,1
class019-chickadee-sample04-src08072,8072,19,n01592084,chickadee,19,chickadee,True,19,0.9994965195655823,4,50,38,9,50,50,49,50,50,50,50,50,50,1,4,4,0.9996813535690308,9,44,19,1
