sample_id,source_index_scanned,target_label,target_synset,target_name,final_pred_label,final_pred_name,detail_candidate,final_class,final_certainty,label_stable_tick,top5_stable_tick,probability_js_tick,certainty_plateau_tick,action_cosine_tick,action_relative_l2_tick,out_cosine_tick,out_relative_l2_tick,full_sync_cosine_tick,full_sync_frobenius_tick,action_step_plateau_tick,out_step_plateau_tick,full_sync_step_plateau_tick,final_correct,first_correct_tick,correct_sustained_tick,target_probability_final,target_probability_plateau_tick,most_certain_tick,most_certain_label,most_certain_correct
class218-Welsh_springer_spaniel-sample00-src00003,3,218,n02102177,Welsh springer spaniel,218,Welsh springer spaniel,True,218,0.9905576109886169,5,27,46,40,50,50,49,50,49,50,50,50,50,1,5,5,0.9907023906707764,46,26,218,1
class416-balance_beam-sample00-src00009,9,416,n02777292,"balance beam, beam",416,"balance beam, beam",True,416,0.9940621852874756,5,46,45,45,50,50,49,50,50,50,50,50,50,1,2,5,0.9932627081871033,45,48,416,1
class793-shower_cap-sample00-src00011,11,793,n04209133,shower cap,793,shower cap,True,793,0.9999999403953552,2,49,4,4,49,50,49,50,49,50,50,50,50,1,2,2,1.0,4,50,793,1
class712-Petri_dish-sample00-src00012,12,712,n03920288,Petri dish,712,Petri dish,True,712,0.8640002608299255,17,50,50,49,50,50,49,50,49,50,50,50,50,1,3,17,0.8214267492294312,49,28,712,1
class116-chiton-sample00-src00018,18,116,n01955084,"chiton, coat-of-mail shell, sea cradle, polyplacophore",116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",True,116,0.9999966025352478,4,50,6,5,50,50,49,50,49,50,50,50,50,1,4,4,0.9999983310699463,5,13,116,1
class116-chiton-sample01-src00328,328,116,n01955084,"chiton, coat-of-mail shell, sea cradle, polyplacophore",116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",True,116,0.9701816439628601,8,48,49,49,50,50,49,50,49,50,50,50,50,1,8,8,0.948577344417572,50,30,116,1
class416-balance_beam-sample01-src00572,572,416,n02777292,"balance beam, beam",416,"balance beam, beam",True,416,0.99997878074646,2,39,15,7,50,50,49,50,50,50,50,50,50,1,2,2,0.999988317489624,7,48,416,1
class218-Welsh_springer_spaniel-sample01-src01197,1197,218,n02102177,Welsh springer spaniel,218,Welsh springer spaniel,True,218,0.8618344068527222,48,49,50,47,50,50,49,50,50,50,50,50,50,1,5,48,0.5807127356529236,50,26,218,1
class116-chiton-sample02-src01262,1262,116,n01955084,"chiton, coat-of-mail shell, sea cradle, polyplacophore",116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",True,116,0.9999938607215881,4,47,7,6,50,50,49,50,48,50,50,50,50,1,4,4,0.9999971389770508,6,50,116,1
class218-Welsh_springer_spaniel-sample02-src01317,1317,218,n02102177,Welsh springer spaniel,218,Welsh springer spaniel,True,218,0.99419766664505,5,48,45,38,50,50,49,50,50,50,50,50,50,1,5,5,0.9947625994682312,38,26,218,1
class218-Welsh_springer_spaniel-sample03-src01395,1395,218,n02102177,Welsh springer spaniel,218,Welsh springer spaniel,True,218,0.9993281960487366,4,50,17,15,50,50,49,50,50,50,50,50,50,1,4,4,0.9994768500328064,15,26,218,1
