sample_id,source_index_scanned,target_label,target_synset,target_name,final_pred_label,final_pred_name,detail_candidate,final_class,final_certainty,label_stable_tick,top5_stable_tick,probability_js_tick,certainty_plateau_tick,action_cosine_tick,action_relative_l2_tick,out_cosine_tick,out_relative_l2_tick,full_sync_cosine_tick,full_sync_frobenius_tick,action_step_plateau_tick,out_step_plateau_tick,full_sync_step_plateau_tick,final_correct,first_correct_tick,correct_sustained_tick,target_probability_final,target_probability_plateau_tick,most_certain_tick,most_certain_label,most_certain_correct
class642-marimba-sample00-src00020,20,642,n03721384,"marimba, xylophone",642,"marimba, xylophone",True,642,0.9999961256980896,3,48,7,5,50,50,49,50,50,50,50,50,50,1,3,3,0.9999983310699463,5,50,642,1
class327-starfish-sample00-src00021,21,327,n02317335,"starfish, sea star",327,"starfish, sea star",True,327,0.9999997019767761,2,48,5,4,50,50,49,50,50,50,50,50,50,1,2,2,0.9999998807907104,4,49,327,1
class087-African_grey-sample00-src00023,23,87,n01817953,"African grey, African gray, Psittacus erithacus",87,"African grey, African gray, Psittacus erithacus",True,87,1.0,5,50,7,7,50,50,49,50,50,50,50,50,50,1,5,5,1.0,7,30,87,1
class965-burrito-sample00-src00024,24,965,n07880968,burrito,965,burrito,True,965,0.9999953508377075,1,50,6,6,50,50,49,50,50,50,50,50,50,1,1,1,0.9999978542327881,5,50,965,1
class267-standard_poodle-sample00-src00025,25,267,n02113799,standard poodle,267,standard poodle,True,267,0.8943479657173157,6,47,50,49,50,50,49,50,50,50,50,50,50,1,6,6,0.6112198233604431,50,32,267,1
class267-standard_poodle-sample01-src00309,309,267,n02113799,standard poodle,266,miniature poodle,True,266,0.9680753350257874,33,49,46,46,50,50,49,50,50,50,50,50,50,0,6,0,0.05359383299946785,49,17,266,0
class965-burrito-sample01-src00318,318,965,n07880968,burrito,965,burrito,True,965,0.9999938011169434,3,50,8,7,50,50,49,50,49,50,50,50,50,1,1,3,0.9999969005584717,7,42,965,1
class087-African_grey-sample01-src00627,627,87,n01817953,"African grey, African gray, Psittacus erithacus",87,"African grey, African gray, Psittacus erithacus",True,87,0.9999992847442627,2,49,5,5,50,50,49,50,50,50,50,50,50,1,2,2,0.9999996423721313,5,30,87,1
class087-African_grey-sample02-src00714,714,87,n01817953,"African grey, African gray, Psittacus erithacus",87,"African grey, African gray, Psittacus erithacus",True,87,1.0,2,48,5,5,50,50,49,50,50,50,50,50,50,1,2,2,1.0,5,24,87,1
class965-burrito-sample02-src01161,1161,965,n07880968,burrito,965,burrito,True,965,1.0,3,50,6,5,50,50,49,50,49,50,50,50,50,1,1,3,1.0,5,38,965,1
class087-African_grey-sample03-src02006,2006,87,n01817953,"African grey, African gray, Psittacus erithacus",87,"African grey, African gray, Psittacus erithacus",True,87,1.0,2,46,5,5,50,50,49,50,50,50,50,50,50,1,2,2,1.0,5,8,87,1
class642-marimba-sample01-src02070,2070,642,n03721384,"marimba, xylophone",683,"oboe, hautboy, hautbois",True,683,0.6742099523544312,49,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0.005315904039889574,30,45,552,0
class327-starfish-sample01-src02168,2168,327,n02317335,"starfish, sea star",121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",True,121,0.7109280228614807,26,49,50,50,50,50,49,50,50,50,50,50,50,0,19,0,0.0032692975364625454,37,35,121,0
class087-African_grey-sample04-src02414,2414,87,n01817953,"African grey, African gray, Psittacus erithacus",87,"African grey, African gray, Psittacus erithacus",True,87,1.0,2,50,5,5,50,50,49,50,50,50,50,50,50,1,2,2,1.0,4,15,87,1
class965-burrito-sample03-src02588,2588,965,n07880968,burrito,965,burrito,True,965,0.7561391592025757,50,49,50,50,50,50,49,50,50,50,50,50,50,1,50,50,0.34214070439338684,50,36,34,0
class642-marimba-sample02-src02784,2784,642,n03721384,"marimba, xylophone",642,"marimba, xylophone",True,642,0.9999977350234985,3,49,5,5,50,50,49,50,50,50,50,50,50,1,3,3,0.9999992847442627,5,29,642,1
class327-starfish-sample02-src03019,3019,327,n02317335,"starfish, sea star",327,"starfish, sea star",True,327,0.9991254210472107,7,48,40,39,50,50,49,50,49,50,50,50,50,1,7,7,0.999362051486969,39,19,327,1
class327-starfish-sample03-src03084,3084,327,n02317335,"starfish, sea star",327,"starfish, sea star",True,327,0.9998644590377808,5,47,10,9,50,50,49,50,50,50,50,50,50,1,5,5,0.9999120235443115,9,19,327,1
class327-starfish-sample04-src03299,3299,327,n02317335,"starfish, sea star",327,"starfish, sea star",True,327,1.0,3,38,5,5,50,50,49,50,49,50,50,50,50,1,3,3,1.0,5,19,327,1
class642-marimba-sample03-src03751,3751,642,n03721384,"marimba, xylophone",642,"marimba, xylophone",True,642,0.9999999403953552,2,50,5,5,50,50,49,50,50,50,50,50,50,1,2,2,1.0,5,29,642,1
class642-marimba-sample04-src04604,4604,642,n03721384,"marimba, xylophone",642,"marimba, xylophone",True,642,0.9976679086685181,4,48,42,31,50,50,49,50,50,50,50,50,50,1,4,4,0.9981465339660645,42,29,642,1
class267-standard_poodle-sample02-src06068,6068,267,n02113799,standard poodle,267,standard poodle,True,267,0.9991757869720459,6,47,34,14,50,50,49,50,50,50,50,50,50,1,6,6,0.9994350075721741,18,32,267,1
class267-standard_poodle-sample03-src06156,6156,267,n02113799,standard poodle,182,Border terrier,True,182,0.6943210959434509,46,49,50,47,50,50,49,50,49,50,50,50,50,0,7,0,0.10212373733520508,50,15,265,0
class965-burrito-sample04-src06960,6960,965,n07880968,burrito,924,guacamole,True,924,0.9977552890777588,9,50,40,14,50,50,49,50,50,50,50,50,50,0,1,0,0.002174665918573737,38,19,924,0
class267-standard_poodle-sample04-src08663,8663,267,n02113799,standard poodle,267,standard poodle,True,267,0.9999437928199768,3,45,16,6,50,50,49,50,50,50,50,50,50,1,3,3,0.9999710321426392,16,32,267,1
