source_frame,target_frame,source_index,target_index,tick,gap,row_max_certainty,row_min_certainty,target_pred_label,target_pred_name,target_pred_confidence,target_self_nll_loss,target_certainty_score,target_uncertainty_score,attention_peak,attention_entropy
frame_000,frame_001,0,1,5,1,True,False,456,bow,0.47302165265640733,0.7486141142516787,0.6509323120117188,0.34906768798828125,0.0324199509516751,5.019514033764257
frame_000,frame_002,0,2,5,2,False,False,456,bow,0.34248961790837107,1.0715139344155844,0.6339419484138489,0.3660580515861511,0.03618981284738918,5.037488999935418
frame_000,frame_003,0,3,5,3,False,False,876,"tub, vat",0.2894853052241593,1.239650742413994,0.6179662942886353,0.38203370571136475,0.029807332264119,5.061047854194936
frame_000,frame_004,0,4,5,4,False,False,703,park bench,0.12447271003198798,2.0836687836346623,0.50589919090271,0.49410080909729004,0.027050973464517934,5.040949282927773
frame_000,frame_005,0,5,5,5,False,False,703,park bench,0.1708068641234378,1.767221810358853,0.5286301374435425,0.4713698625564575,0.026521522920467284,5.062156653641682
frame_000,frame_006,0,6,5,6,False,False,703,park bench,0.22499785877332026,1.4916643933860207,0.5607644319534302,0.4392355680465698,0.024112967704269437,5.136429461185411
frame_000,frame_007,0,7,5,7,False,False,703,park bench,0.19880804362746432,1.6154155246754456,0.5988924503326416,0.4011075496673584,0.025734054318234598,5.130419631842157
frame_000,frame_008,0,8,5,8,False,False,416,"balance beam, beam",0.2845190384197903,1.2569551087802369,0.645402193069458,0.354597806930542,0.03001819202653787,5.101104812682586
frame_000,frame_009,0,9,5,9,False,False,981,"ballplayer, baseball player",0.20703415377156717,1.5748715052612499,0.5838593244552612,0.41614067554473877,0.02817419379769236,5.07932172873686
frame_000,frame_010,0,10,5,10,False,False,416,"balance beam, beam",0.16186603212131184,1.8209862480857568,0.5364500284194946,0.46354997158050537,0.027805782630956146,5.052847469095417
frame_000,frame_011,0,11,5,11,False,False,416,"balance beam, beam",0.13344365491278773,2.014075950812837,0.5108722448348999,0.4891277551651001,0.029077394343299097,5.007807818143004
frame_000,frame_012,0,12,5,12,False,False,345,ox,0.19142987764407085,1.6532337116019704,0.5002516508102417,0.4997483491897583,0.030714888408018316,4.992064375850409
frame_000,frame_013,0,13,5,13,False,True,690,oxcart,0.15665107543315565,1.8537343964102106,0.4997352957725525,0.5002647042274475,0.0325649378363357,4.989800820740553
frame_000,frame_014,0,14,5,14,False,False,690,oxcart,0.16305512448976886,1.81366694829393,0.5505906939506531,0.4494093060493469,0.032624594957877104,5.008350322445625
frame_000,frame_015,0,15,5,15,False,False,416,"balance beam, beam",0.22170583446314748,1.5064038457772089,0.5605427026748657,0.4394572973251343,0.030411510298464322,5.045036159703897
frame_000,frame_016,0,16,5,16,False,False,981,"ballplayer, baseball player",0.22552440060475004,1.4893269192203746,0.5261799097061157,0.4738200902938843,0.02883123804908951,5.001067781023028
frame_000,frame_017,0,17,5,17,False,False,981,"ballplayer, baseball player",0.36507083837026255,1.0076638665035444,0.6252011060714722,0.37479889392852783,0.028421107145154736,5.053525605949799
frame_000,frame_018,0,18,5,18,False,False,981,"ballplayer, baseball player",0.2817875012678983,1.266602033702402,0.609499454498291,0.390500545501709,0.030452511965821022,5.02974128284481
frame_000,frame_019,0,19,5,19,False,False,981,"ballplayer, baseball player",0.15543259279802593,1.8615431281748402,0.5086660981178284,0.49133390188217163,0.028275861493678146,5.025333834945387
frame_000,frame_001,0,1,10,1,False,False,690,oxcart,0.36043536457358255,1.0204426321641424,0.7167479395866394,0.2832520604133606,0.07309245348475085,4.580043900467196
frame_000,frame_002,0,2,10,2,False,False,690,oxcart,0.48120132604231425,0.7314695391865027,0.7570929527282715,0.24290704727172852,0.08090101269546181,4.627800412607884
frame_000,frame_003,0,3,10,3,False,False,690,oxcart,0.5536868978859183,0.5911559182724151,0.7869836688041687,0.2130163311958313,0.08751160849197545,4.639135618119091
frame_000,frame_004,0,4,10,4,False,False,703,park bench,0.39546477187635276,0.9276935681149259,0.7133579850196838,0.28664201498031616,0.049937687219338556,4.689095317006728
frame_000,frame_005,0,5,10,5,False,False,703,park bench,0.6270799992971713,0.46668115590260273,0.76422119140625,0.23577880859375,0.048564169938377165,4.775761589701361
frame_000,frame_006,0,6,10,6,False,False,703,park bench,0.7883311436414076,0.23783704434996422,0.8523095846176147,0.14769041538238525,0.04081243927684435,4.766056891198161
frame_000,frame_007,0,7,10,7,True,False,703,park bench,0.7395081918570741,0.301769919330672,0.87115478515625,0.12884521484375,0.05180782835840625,4.70868229075961
frame_000,frame_008,0,8,10,8,False,False,416,"balance beam, beam",0.720351137407092,0.3280164950113815,0.8428562879562378,0.1571437120437622,0.05383913159862823,4.683555837364526
frame_000,frame_009,0,9,10,9,False,False,703,park bench,0.490875779716257,0.7115641776640239,0.7742506265640259,0.22574937343597412,0.05104444152168902,4.752943768480824
frame_000,frame_010,0,10,10,10,False,False,703,park bench,0.42539440696669284,0.8547385240064921,0.6992111802101135,0.3007888197898865,0.07108385161492135,4.681012934394553
frame_000,frame_011,0,11,10,11,False,False,690,oxcart,0.23235334948826275,1.4594960078534722,0.6690607070922852,0.33093929290771484,0.056093022930068806,4.686021208178234
frame_000,frame_012,0,12,10,12,False,False,690,oxcart,0.4837669694199472,0.7261519563491123,0.7841253280639648,0.21587467193603516,0.04460385802369753,4.627523995073938
frame_000,frame_013,0,13,10,13,False,False,690,oxcart,0.5600950417845953,0.5796487921808313,0.8534557819366455,0.1465442180633545,0.055792881651185476,4.510717662084268
frame_000,frame_014,0,14,10,14,False,False,690,oxcart,0.7243847242460452,0.3224326406523659,0.8649649024009705,0.13503509759902954,0.03937053333508547,4.711010642491819
frame_000,frame_015,0,15,10,15,False,False,416,"balance beam, beam",0.40240629916464027,0.9102930063314554,0.7076969146728516,0.29230308532714844,0.05117448022590103,4.708001120645661
frame_000,frame_016,0,16,10,16,False,True,690,oxcart,0.1968575610437108,1.6252748521511713,0.5906793475151062,0.4093206524848938,0.05653078451418406,4.5779245078461
frame_000,frame_017,0,17,10,17,False,False,416,"balance beam, beam",0.5031906537165381,0.6867861474636735,0.759023129940033,0.24097687005996704,0.04933734538346941,4.592474115757988
frame_000,frame_018,0,18,10,18,False,False,416,"balance beam, beam",0.7453845880096326,0.2938549682848457,0.8499241471290588,0.15007585287094116,0.05809383864254264,4.445218392939616
frame_000,frame_019,0,19,10,19,False,False,416,"balance beam, beam",0.3812720147632116,0.9642422090864048,0.6765185594558716,0.3234814405441284,0.07592353275355244,4.5030558320516985
frame_000,frame_001,0,1,20,1,True,False,427,"barrel, cask",0.9226520650348795,0.08050307650588806,0.9323467016220093,0.06765329837799072,0.027955231795522426,5.199530995076769
frame_000,frame_002,0,2,20,2,False,False,427,"barrel, cask",0.9275325115483121,0.07522743223260764,0.9323031306266785,0.06769686937332153,0.030125867966915874,5.179120245136078
frame_000,frame_003,0,3,20,3,False,False,427,"barrel, cask",0.6477663516166937,0.43422521614306797,0.7525835037231445,0.24741649627685547,0.034945364955681284,5.2110912037797075
frame_000,frame_004,0,4,20,4,False,False,427,"barrel, cask",0.6734745306327188,0.39530510027926646,0.7407971620559692,0.25920283794403076,0.030913356197672225,5.2432150347338755
frame_000,frame_005,0,5,20,5,False,False,427,"barrel, cask",0.3503245719229348,1.0488952058692702,0.5841547250747681,0.41584527492523193,0.02680404118633453,5.2426726304344164
frame_000,frame_006,0,6,20,6,False,False,703,park bench,0.1421939244334909,1.9505634880286338,0.5318683385848999,0.4681316614151001,0.02378108343207777,5.237968516412979
frame_000,frame_007,0,7,20,7,False,False,703,park bench,0.3152200492584619,1.1544843149678234,0.5959129333496094,0.4040870666503906,0.02431103532364538,5.20681858855777
frame_000,frame_008,0,8,20,8,False,False,830,stretcher,0.3415922932660227,1.0741373780188734,0.5705919861793518,0.4294080138206482,0.02683221378466838,5.162444589467647
frame_000,frame_009,0,9,20,9,False,False,830,stretcher,0.21735227110603952,1.5262358725288214,0.536159873008728,0.463840126991272,0.02388885391166451,5.198612020286054
frame_000,frame_010,0,10,20,10,False,False,830,stretcher,0.19433218300851957,1.638186300655938,0.5399535894393921,0.4600464105606079,0.03315025963582594,5.191733019269384
frame_000,frame_011,0,11,20,11,False,False,830,stretcher,0.20984301991346926,1.5613955520217893,0.5314674973487854,0.4685325026512146,0.028895525784869678,5.137850316918257
frame_000,frame_012,0,12,20,12,False,False,690,oxcart,0.37735284050914936,0.9745746127609762,0.6293631792068481,0.37063682079315186,0.03162854867433924,5.115445228228694
frame_000,frame_013,0,13,20,13,False,False,690,oxcart,0.3725944640656689,0.987264678505086,0.5941082239151001,0.4058917760848999,0.03624433592152135,5.0473286547355505
frame_000,frame_014,0,14,20,14,False,False,690,oxcart,0.6223968934328593,0.4741772974015246,0.7349047064781189,0.2650952935218811,0.029343588583720333,5.077494582306626
frame_000,frame_015,0,15,20,15,False,False,830,stretcher,0.2252910860128961,1.4903619972938245,0.5289996266365051,0.4710003733634949,0.02825593078782616,5.130227354829133
frame_000,frame_016,0,16,20,16,False,False,267,standard poodle,0.28539678164675575,1.2538748506436423,0.5607526302337646,0.43924736976623535,0.03229752589812091,5.038292114910534
frame_000,frame_017,0,17,20,17,False,False,981,"ballplayer, baseball player",0.20170281151320996,1.600959895035282,0.5408183336257935,0.45918166637420654,0.029183928127095884,5.033846466783987
frame_000,frame_018,0,18,20,18,False,False,981,"ballplayer, baseball player",0.4398558393094884,0.8213082436878452,0.641482949256897,0.358517050743103,0.03755051667153553,4.991915192803093
frame_000,frame_019,0,19,20,19,False,True,249,"malamute, malemute, Alaskan malamute",0.11542748678663599,2.1591127662109346,0.46729743480682373,0.5327025651931763,0.048665172512780665,4.970121652811791
frame_000,frame_001,0,1,30,1,False,False,427,"barrel, cask",0.965317349870361,0.035298371736452505,0.9677907824516296,0.03220921754837036,0.028555860953087202,5.143006060352669
frame_000,frame_002,0,2,30,2,True,False,427,"barrel, cask",0.9727020487545943,0.027677462853594736,0.9727835059165955,0.02721649408340454,0.029017395823872104,5.136860141581424
frame_000,frame_003,0,3,30,3,False,False,427,"barrel, cask",0.6939780721403112,0.36531491531411664,0.791993260383606,0.20800673961639404,0.03050971188592347,5.149836982157641
frame_000,frame_004,0,4,30,4,False,False,427,"barrel, cask",0.6422693386885417,0.44274753260305033,0.7517197728157043,0.24828022718429565,0.03176175385758976,5.17844168549413
frame_000,frame_005,0,5,30,5,False,False,427,"barrel, cask",0.32735099955959934,1.1167222906107743,0.6224814653396606,0.37751853466033936,0.04275612234373871,5.14614156776599
frame_000,frame_006,0,6,30,6,False,False,703,park bench,0.5401526027666304,0.6159035816310481,0.7071157097816467,0.29288429021835327,0.04419406009724215,5.186936924849846
frame_000,frame_007,0,7,30,7,False,False,703,park bench,0.7990845027565503,0.22428857816162928,0.8602330684661865,0.13976693153381348,0.04381753071772261,5.161350638283764
frame_000,frame_008,0,8,30,8,False,False,703,park bench,0.47096688438309137,0.7529674966029356,0.7220920324325562,0.27790796756744385,0.03734916489325209,5.148568087140161
frame_000,frame_009,0,9,30,9,False,False,703,park bench,0.3445164572737345,1.0656134181927115,0.6360412240028381,0.36395877599716187,0.031029699487778697,5.117960277336929
frame_000,frame_010,0,10,30,10,False,False,176,"Saluki, gazelle hound",0.281424477931012,1.267891151834002,0.6502265334129333,0.34977346658706665,0.03561168918306878,5.036802189370044
frame_000,frame_011,0,11,30,11,False,False,176,"Saluki, gazelle hound",0.3823971122758231,0.9612956494133647,0.6414053440093994,0.3585946559906006,0.03900719082925429,5.1062033042735395
frame_000,frame_012,0,12,30,12,False,False,176,"Saluki, gazelle hound",0.6698543906749088,0.40069491756701847,0.8023284673690796,0.1976715326309204,0.041802010986166996,5.085411189559218
frame_000,frame_013,0,13,30,13,False,False,690,oxcart,0.24579292959325683,1.4032658471408244,0.6328157186508179,0.36718428134918213,0.033532924561425606,5.117312233193646
frame_000,frame_014,0,14,30,14,False,False,690,oxcart,0.4490198782689784,0.8006881199058897,0.7439985871315002,0.25600141286849976,0.04394947040351489,5.115585570898379
frame_000,frame_015,0,15,30,15,False,True,703,park bench,0.2243111806174123,1.4947209919866786,0.5595017671585083,0.4404982328414917,0.03895828873000577,5.083666564226061
frame_000,frame_016,0,16,30,16,False,False,267,standard poodle,0.18456334728101964,1.689762528734617,0.5606030225753784,0.4393969774246216,0.04078015651233754,5.0836882752037
frame_000,frame_017,0,17,30,17,False,False,703,park bench,0.3271551318097337,1.1173208113772732,0.612591028213501,0.387408971786499,0.03284481192554326,5.111651502792078
frame_000,frame_018,0,18,30,18,False,False,981,"ballplayer, baseball player",0.34507627048911826,1.0639898125025047,0.6872057914733887,0.31279420852661133,0.059266545294530106,5.088039316509914
