method,tick,state_build_seconds,method_pairwise_seconds,n_samples,n_pairs,mean_nodes,mean_edges,max_rss_mb
weighted_jaccard,1,0.2760372497141361,0.22080129757523537,25,300,137.92,737.48,2579.63671875
edge_cosine,1,0.2760372497141361,0.21633033454418182,25,300,137.92,737.48,2579.63671875
degree_strength_cosine,1,0.2760372497141361,0.04419172555208206,25,300,137.92,737.48,2579.63671875
spectral_similarity,1,0.2760372497141361,0.004676345735788345,25,300,137.92,737.48,2579.63671875
weighted_jaccard,5,2.7444861344993114,0.5715375728905201,25,300,310.96,1308.0,2579.63671875
edge_cosine,5,2.7444861344993114,0.3996025212109089,25,300,310.96,1308.0,2579.63671875
degree_strength_cosine,5,2.7444861344993114,0.08585232123732567,25,300,310.96,1308.0,2579.63671875
spectral_similarity,5,2.7444861344993114,0.004645027220249176,25,300,310.96,1308.0,2579.63671875
weighted_jaccard,10,4.328596048057079,0.7575734294950962,25,300,367.84,1308.0,2579.63671875
edge_cosine,10,4.328596048057079,0.6669642589986324,25,300,367.84,1308.0,2579.63671875
degree_strength_cosine,10,4.328596048057079,0.16755883023142815,25,300,367.84,1308.0,2579.63671875
spectral_similarity,10,4.328596048057079,0.007979970425367355,25,300,367.84,1308.0,2579.63671875
weighted_jaccard,15,5.09425937756896,0.7450592294335365,25,300,380.44,1308.0,2579.63671875
edge_cosine,15,5.09425937756896,0.6559221036732197,25,300,380.44,1308.0,2579.63671875
degree_strength_cosine,15,5.09425937756896,0.17102261632680893,25,300,380.44,1308.0,2579.63671875
spectral_similarity,15,5.09425937756896,0.007853001356124878,25,300,380.44,1308.0,2579.63671875
weighted_jaccard,20,5.021132066845894,0.7359302453696728,25,300,372.88,1308.0,2579.63671875
edge_cosine,20,5.021132066845894,0.6452104412019253,25,300,372.88,1308.0,2579.63671875
degree_strength_cosine,20,5.021132066845894,0.16666437685489655,25,300,372.88,1308.0,2579.63671875
spectral_similarity,20,5.021132066845894,0.007874201983213425,25,300,372.88,1308.0,2579.63671875
weighted_jaccard,30,5.361929100006819,0.7971718348562717,25,300,370.28,1308.0,2579.63671875
edge_cosine,30,5.361929100006819,0.6368874087929726,25,300,370.28,1308.0,2579.63671875
degree_strength_cosine,30,5.361929100006819,0.16416945680975914,25,300,370.28,1308.0,2579.63671875
spectral_similarity,30,5.361929100006819,0.007941383868455887,25,300,370.28,1308.0,2579.63671875
weighted_jaccard,40,4.878316003829241,0.8004754334688187,25,300,369.4,1308.0,2579.63671875
edge_cosine,40,4.878316003829241,0.6197200194001198,25,300,369.4,1308.0,2579.63671875
degree_strength_cosine,40,4.878316003829241,0.16364343464374542,25,300,369.4,1308.0,2579.63671875
spectral_similarity,40,4.878316003829241,0.00779680535197258,25,300,369.4,1308.0,2579.63671875
weighted_jaccard,50,4.803965516388416,0.795939214527607,25,300,377.0,1308.0,2579.63671875
edge_cosine,50,4.803965516388416,0.6306740865111351,25,300,377.0,1308.0,2579.63671875
degree_strength_cosine,50,4.803965516388416,0.16463980078697205,25,300,377.0,1308.0,2579.63671875
spectral_similarity,50,4.803965516388416,0.007881972938776016,25,300,377.0,1308.0,2579.63671875
