method,tick,same_mean,same_median,same_std,same_n,different_mean,different_median,different_std,different_n,same_minus_different
weighted_jaccard,1,0.13096395215693274,0.1580169421094238,0.10165075038185836,50,0.09787306860732192,0.11968299285661145,0.07667069462413331,250,0.03309088354961082
edge_cosine,1,0.30065792291660354,0.3627336476171531,0.23813209151048365,50,0.22408502112630765,0.24219738208548686,0.18636932240761803,250,0.07657290179029588
degree_strength_cosine,1,0.489010943677287,0.6215087728729679,0.3315072249040649,50,0.4359535333457082,0.5255588216246024,0.29567098334406106,250,0.05305741033157879
spectral_similarity,1,0.8719485850797145,0.891698592069178,0.07004058671252958,50,0.8655217835269161,0.8702206569130353,0.06287154299644784,250,0.0064268015527984
weighted_jaccard,5,0.10550358047588601,0.09488274551154202,0.03965575184632032,50,0.04951979519314161,0.04663683390061566,0.014984155240029379,250,0.0559837852827444
edge_cosine,5,0.2831513225775085,0.2547315216960446,0.11331153375476428,50,0.11689270184147517,0.10618095008929707,0.05363428386326859,250,0.16625862073603337
degree_strength_cosine,5,0.5786078195487451,0.590864211282601,0.16388208004198374,50,0.3554830487516694,0.32846563366139525,0.13008238079786572,250,0.22312477079707566
spectral_similarity,5,0.8422973647763855,0.8478130481939283,0.0761515530808736,50,0.8432766351256785,0.8579091507565584,0.08118205447963683,250,-0.0009792703492930155
weighted_jaccard,10,0.15175363365788522,0.15050349520215664,0.04288064788579198,50,0.07422474026825399,0.06998435916791759,0.022876939577018293,250,0.07752889338963123
edge_cosine,10,0.36502591520209754,0.3593176286830111,0.12459841795998715,50,0.1403148554200834,0.12880794562657613,0.07838495284291515,250,0.22471105978201414
degree_strength_cosine,10,0.5822088046620817,0.5759389420786782,0.1665161089110153,50,0.28095118928838936,0.2666446011509904,0.12180047524756055,250,0.30125761537369233
spectral_similarity,10,0.8751440300437754,0.8830235893850111,0.06561678287525309,50,0.8354512346006214,0.8470118418942525,0.07927493113862907,250,0.03969279544315396
weighted_jaccard,15,0.1595968082319916,0.15222513754832284,0.04663545148728968,50,0.07415567934122604,0.07059848011696547,0.023547493320211017,250,0.08544112889076556
edge_cosine,15,0.3741524910139286,0.37006800270416185,0.13716914837582328,50,0.11976726494401146,0.10605365925029916,0.07363188404449703,250,0.25438522606991715
degree_strength_cosine,15,0.6261826103003226,0.6689275047696684,0.20217710409071724,50,0.26197384701380977,0.24329767278279613,0.12491516184643385,250,0.36420876328651286
spectral_similarity,15,0.853913984201192,0.8726466168277421,0.07164084716440226,50,0.8420261038406351,0.8681145427809012,0.09742412891652419,250,0.01188788036055688
weighted_jaccard,20,0.22272855617919146,0.22585318012566505,0.05110006925463525,50,0.12511371090486872,0.12589985001359144,0.037806044025273794,250,0.09761484527432274
edge_cosine,20,0.5318286825246048,0.5300566570659991,0.13657070414046807,50,0.27844785428358854,0.2766946008189524,0.13050069849360252,250,0.25338082824101626
degree_strength_cosine,20,0.7359703331005965,0.7259037696993249,0.13023572783880946,50,0.38135205347971146,0.3711104300446586,0.1564472692377664,250,0.354618279620885
spectral_similarity,20,0.879023276465422,0.9062248834594205,0.08207575570192417,50,0.8539466963138032,0.8680340008458962,0.07472500578024553,250,0.025076580151618844
weighted_jaccard,30,0.2706879474435813,0.26547354223358216,0.05867520455515797,50,0.16643958645666593,0.16752450923081041,0.03941761943672351,250,0.1042483609869154
edge_cosine,30,0.5848823594007349,0.5869160795069801,0.13254548223947804,50,0.331131313236811,0.33911668488043323,0.12710608737647922,250,0.25375104616392385
degree_strength_cosine,30,0.7839871492453692,0.771405843452855,0.1089256787703735,50,0.466732224367753,0.46898774455282854,0.1466363141751816,250,0.31725492487761614
spectral_similarity,30,0.8650002981665504,0.8846291422545166,0.08435225886923968,50,0.8402156474093136,0.8548662071450346,0.08725861607229561,250,0.024784650757236792
weighted_jaccard,40,0.28909001356618075,0.2833045536638822,0.05627839801818765,50,0.18853115472779747,0.18794088377350293,0.03913452778716069,250,0.10055885883838328
edge_cosine,40,0.6270663500974956,0.6409256087981994,0.12399713233665177,50,0.39851037148450325,0.42153046343035894,0.13219539676742098,250,0.22855597861299232
degree_strength_cosine,40,0.8059650229030669,0.7997102721467959,0.09373491804434894,50,0.5264688845454967,0.5458728507790704,0.14643811073995006,250,0.27949613835757026
spectral_similarity,40,0.8781866124450467,0.9098205006151848,0.09247138869171409,50,0.8371163201049708,0.8519757060671316,0.08674374272362133,250,0.041070292340075865
weighted_jaccard,50,0.2965370732255008,0.297662826936839,0.05273683554016321,50,0.20064867319673368,0.20324166723979378,0.03782737818662998,250,0.09588840002876714
edge_cosine,50,0.6857568317396957,0.7016915451091223,0.10968097250623153,50,0.4854059922886083,0.5353390363189932,0.13966197374877637,250,0.2003508394510874
degree_strength_cosine,50,0.8312624715858786,0.8296454741330159,0.08207265972243075,50,0.569592369411151,0.6067766701250954,0.16123292157569966,250,0.26167010217472764
spectral_similarity,50,0.8895655410444614,0.9168250997118681,0.0920183838403449,50,0.8662524414054193,0.8978615152291252,0.08985185498385939,250,0.023313099639042045
