method,tick,relation,sample_a,label_a,sample_b,label_b,similarity
community_nmi,1,same_class,class091-coucal-sample00-src00000,91,class091-coucal-sample01-src00316,91,0.3965979259168365
community_nmi,1,same_class,class091-coucal-sample00-src00000,91,class091-coucal-sample02-src01583,91,0.484067411990644
community_nmi,1,same_class,class091-coucal-sample00-src00000,91,class091-coucal-sample03-src01629,91,1.0
community_nmi,1,same_class,class091-coucal-sample00-src00000,91,class091-coucal-sample04-src03448,91,0.0
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class171-Italian_greyhound-sample00-src00001,171,0.10098733632389116
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class171-Italian_greyhound-sample01-src02164,171,0.42387156754882915
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class171-Italian_greyhound-sample02-src02599,171,0.31310860997158485
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class171-Italian_greyhound-sample03-src02775,171,0.0
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class171-Italian_greyhound-sample04-src03793,171,0.39094393282372736
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class505-coffeepot-sample00-src00013,505,0.5336698627923314
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class505-coffeepot-sample01-src01487,505,0.45693504710357263
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class505-coffeepot-sample02-src02782,505,0.5150476393841282
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class505-coffeepot-sample03-src05563,505,0.32528233849493554
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class505-coffeepot-sample04-src05824,505,0.48439812283716044
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class817-sports_car-sample00-src00019,817,0.5015169464853152
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class817-sports_car-sample01-src00787,817,0.31630128856892353
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class817-sports_car-sample02-src02853,817,0.5165328288542803
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class817-sports_car-sample03-src04513,817,0.41118956508763
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class817-sports_car-sample04-src04549,817,0.5522988916530518
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class980-volcano-sample00-src00002,980,0.35472280265986483
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class980-volcano-sample01-src00863,980,0.4935875303965763
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class980-volcano-sample02-src01265,980,0.48065279191798926
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class980-volcano-sample03-src01422,980,0.48702048826809596
community_nmi,1,different_class,class091-coucal-sample00-src00000,91,class980-volcano-sample04-src01813,980,0.3437110184854508
community_nmi,1,same_class,class091-coucal-sample01-src00316,91,class091-coucal-sample02-src01583,91,0.5515534232165987
community_nmi,1,same_class,class091-coucal-sample01-src00316,91,class091-coucal-sample03-src01629,91,0.13921962366837864
community_nmi,1,same_class,class091-coucal-sample01-src00316,91,class091-coucal-sample04-src03448,91,0.0
community_nmi,1,different_class,class091-coucal-sample01-src00316,91,class171-Italian_greyhound-sample00-src00001,171,0.0
community_nmi,1,different_class,class091-coucal-sample01-src00316,91,class171-Italian_greyhound-sample01-src02164,171,0.5649895843022141
community_nmi,1,different_class,class091-coucal-sample01-src00316,91,class171-Italian_greyhound-sample02-src02599,171,0.42059948659082136
community_nmi,1,different_class,class091-coucal-sample01-src00316,91,class171-Italian_greyhound-sample03-src02775,171,0.20196437645642742
community_nmi,1,different_class,class091-coucal-sample01-src00316,91,class171-Italian_greyhound-sample04-src03793,171,0.5048363688590081
community_nmi,1,different_class,class091-coucal-sample01-src00316,91,class505-coffeepot-sample00-src00013,505,0.47924371399807747
