method,tick,same_mean,same_median,same_std,same_n,different_mean,different_median,different_std,different_n,same_minus_different
community_nmi,1,0.33300663753395526,0.29368557746442814,0.23953543330251625,50,0.35995708945783267,0.368703496605959,0.22358371867596138,250,-0.026950451923877405
community_ari,1,0.3461825795326716,0.38734616068295114,0.3218047549865818,50,0.3638222670237081,0.45166249604235,0.3335870700371522,250,-0.017639687491036504
delta_con,1,0.15838807641448288,0.1626679570700295,0.028302049608490164,50,0.15032144837554165,0.15651020864129228,0.024464514870835178,250,0.008066628038941231
delta_con_attr,1,0.9008207490667293,0.9306210227502175,0.05718709669223724,50,0.8945729065857665,0.9279727334233527,0.05772045007252226,250,0.006247842480962773
ged_approx,1,0.21705754642230654,0.27290065516477685,0.1622923157738874,50,0.16930069642353845,0.2137801196450641,0.129056556370949,250,0.047756849998768086
wl_kernel,1,0.0,0.0,0.0,50,0.0,0.0,0.0,250,0.0
gw_approx,1,0.8266513166055626,0.8349856017617554,0.061334800124211594,50,0.825603470516632,0.8285493717870767,0.05940970663030803,250,0.001047846088930604
dynamic_trajectory,1,0.0,0.0,0.0,50,0.0,0.0,0.0,250,0.0
community_nmi,5,0.35319071368183075,0.3608499866162601,0.1085363001445495,50,0.2572476960982986,0.25427000396469834,0.09897883841732877,250,0.09594301758353213
community_ari,5,0.38792993622409844,0.37786373095241754,0.13651531975989337,50,0.29056924506759235,0.29376601109038736,0.12283388742559517,250,0.09736069115650609
delta_con,5,0.07127122448357809,0.07083725869509486,0.004269819184870013,50,0.06598721789758596,0.0658859215846256,0.0029493244225099204,250,0.005284006585992124
delta_con_attr,5,0.8520589551540008,0.8559062707513516,0.0179204541900587,50,0.8392524347551987,0.8408474809751014,0.017524510091804196,250,0.012806520398802035
ged_approx,5,0.18861727815483434,0.17332030885371313,0.06283698667589062,50,0.09398541337300789,0.089117502328178,0.026706610412112815,250,0.09463186478182645
wl_kernel,5,0.0,0.0,0.0,50,0.0,0.0,0.0,250,0.0
gw_approx,5,0.8125561376375816,0.8136074722110263,0.06461977786243045,50,0.8038934934655628,0.8156565005650525,0.06459874537013366,250,0.008662644172018785
dynamic_trajectory,5,0.9120886153944556,0.9204896477329336,0.05345066221275216,50,0.9091539957937658,0.9146274446234008,0.05870432522478849,250,0.0029346196006898584
community_nmi,10,0.33315602405727995,0.31845212443651266,0.09455185526802176,50,0.2193580967982475,0.21172417383350117,0.0705914101746409,250,0.11379792725903246
community_ari,10,0.38280950332962027,0.3757501760645967,0.12117072975096271,50,0.2551735137596104,0.24955487807793159,0.0951887282473157,250,0.12763598957000988
delta_con,10,0.0595567651466468,0.05889719994339275,0.002804530189211162,50,0.05506849590298191,0.05492070533036305,0.002292505610797228,250,0.004488269243664897
delta_con_attr,10,0.8482339450351709,0.8504311206293016,0.02164996763311899,50,0.8354417893107838,0.8358919356063765,0.01844332582784672,250,0.012792155724387078
ged_approx,10,0.26115588320211774,0.26163063259868785,0.06351261801764921,50,0.13737199366673183,0.13081379755571304,0.038543570552867175,250,0.12378388953538591
wl_kernel,10,0.0,0.0,0.0,50,0.0,0.0,0.0,250,0.0
gw_approx,10,0.8404177588816083,0.8549721284808028,0.07147567088674615,50,0.8205671264772869,0.8273488018695363,0.07312783629552928,250,0.01985063240432139
dynamic_trajectory,10,0.9555897950319894,0.9693562772435109,0.042236238531973,50,0.92649513597464,0.9317089843353081,0.04402140102392429,250,0.029094659057349426
community_nmi,15,0.2971655721895182,0.28907321611424586,0.08353957220531076,50,0.20261042528699666,0.19794817457313663,0.06156395295740584,250,0.09455514690252156
community_ari,15,0.32000743669896176,0.3103579673959802,0.10352296106336913,50,0.20793632114930094,0.20252130574815647,0.07342062976744086,250,0.11207111554966082
delta_con,15,0.05582285567045651,0.05582296663249989,0.002543108934533096,50,0.05178461846237111,0.05163592517367313,0.0020776872771971,250,0.004038237208085396
delta_con_attr,15,0.8492812635573641,0.8486446466652177,0.014828751805335017,50,0.8357428137106385,0.8370755400271328,0.015953399789815442,250,0.013538449846725586
ged_approx,15,0.2725468028267435,0.26421286000441885,0.06760922741464188,50,0.13720360240331012,0.13188600466658496,0.03966969918197272,250,0.13534320042343337
wl_kernel,15,0.0,0.0,0.0,50,0.0,0.0,0.0,250,0.0
gw_approx,15,0.8376557318556062,0.8446592467564576,0.06699039396155186,50,0.8220527605437369,0.8425261111201874,0.09117376086959576,250,0.015602971311869274
